"","sciname","fbname","common"
"2286","Blenniella interrupta","Dashed-line blenny","Dashed-line blenny"
"2287","Enchelyurus kraussii","Krauss' blenny","Krauss' blenny"
"2288","Paralticus amboinensis","Ambon rockskipper","Ambon rockskipper"
"2289","Andamia tetradactylus","Four-fingered lipsucker","Four-fingered lipsucker"
"2290","Istiblennius rivulatus","null","null"
"2291","Istiblennius meleagris","Peacock rockskipper","Peacock rockskipper"
"2292","Atrosalarias holomelas","Brown coral blenny","Brown coral blenny"
"2293","Meiacanthus smithi","Disco blenny","Disco blenny"
"2294","Dodekablennos fraseri","null","null"
"2295","Ecsenius aroni","Aron's blenny","Aron's blenny"
"2296","Ecsenius yaeyamaensis","Yaeyama blenny","Yaeyama blenny"
"2297","Ecsenius opsifrontalis","Comical blenny","Comical blenny"
"2298","Ecsenius nalolo","Nalolo","Nalolo"
"2299","Meiacanthus abditus","Sulu fangblenny","Sulu fangblenny"
"2300","Scartella emarginata","Maned blenny","Maned blenny"
"2301","Parablennius laticlavius","null","null"
"2302","Parablennius lodosus","Mud blenny","Mud blenny"
"2303","Ecsenius frontalis","Smooth-fin blenny","Smooth-fin blenny"
"2304","Rhabdoblennius snowi","Snow's rockskipper","Snow's rockskipper"
"2305","Litobranchus fowleri","Fowler's rockskipper","Fowler's rockskipper"
"2306","Plagiotremus rhinorhynchos","Bluestriped fangblenny","Bluestriped fangblenny"
"2307","Istiblennius dussumieri","Streaky rockskipper","Streaky rockskipper"
"2308","Cirripectes hutchinsi","Hutchins' blenny","Hutchins' blenny"
"2309","Rhabdoblennius nitidus","Barred-chin blenny","Barred-chin blenny"
"2310","Blenniella caudolineata","Blue-spotted blenny","Blue-spotted blenny"
"2311","Salarias obscurus","null","null"
"2312","Ecsenius axelrodi","Axelrod's clown blenny","Axelrod's clown blenny"
"2313","Ecsenius alleni","Allen's combtooth blenny","Allen's combtooth blenny"
"2314","Cirripectes vanderbilti","Scarface blenny","Scarface blenny"
"2315","Ecsenius portenoyi","null","null"
"2316","Parablennius intermedius","null","null"
"2317","Nannosalarias nativitatis","Pygmy blenny","Pygmy blenny"
"2318","Ecsenius oculus","Ocular blenny","Ocular blenny"
"2319","Ecsenius tessera","null","null"
"2320","Cirripectes castaneus","Chestnut eyelash-blenny","Chestnut eyelash-blenny"
"2321","Salarias alboguttatus","White-spotted blenny","White-spotted blenny"
"2322","Entomacrodus williamsi","William's rockskipper","William's rockskipper"
"2323","Rhabdoblennius rhabdotrachelus","Barchin blenny","Barchin blenny"
"2324","Entomacrodus caudofasciatus","Tail-barred rockskipper","Tail-barred rockskipper"
"2325","Salarias luctuosus","null","null"
"2326","Aspidontus dussumieri","Lance blenny","Lance blenny"
"2327","Plagiotremus laudandus","Bicolour fangblenny","Bicolour fangblenny"
"2328","Ecsenius mandibularis","Queensland blenny","Queensland blenny"
"2329","Evynnis cardinalis","Threadfin porgy","Threadfin porgy"
"2330","Canthigaster petersii","Peter's toby","Peter's toby"
